Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
"КГУ ""Средняя общеобразовательная школа № 2 имени А.Текенова"" отдела образования района Тереѕкґл, управления образования Павлодарской области",971040001209,Павлодарская область,Тереѕкґл район,-,53.061697,76.114964
"КГУ ""Средняя общеобразовательная школа № 3 имени Ќатшы Оспановой"" отдела образования района Тереѕкґл, управления образования Павлодарской области",011040002179,Павлодарская область,Тереѕкґл район,-,53.064083,76.105666
"КГУ ""Песчанская средняя общеобразовательная школа № 1"" отдела образования района Тереѕкґл, управления образования Павлодарской области",971240001935,Павлодарская область,Тереѕкґл район,-,52.993567,76.325160
"КГУ ""Береговая средняя общеобразовательная школа"" отдела образования района Тереѕкґл, управления образования Павлодарской области",970940001893,Павлодарская область,Тереѕкґл район,-,53.132624,75.877516
ГУ «Отдел образования Успенского района» управления образования Павлодарской области,940340000461,Павлодарская область,Успенский район,ЦБ Успенский,52.901317,77.419776
"Коммунальное государственное учреждение ""Константиновская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001930,Павлодарская область,Успенский район,ЦБ Успенский,52.787893,77.223682
"Коммунальное государственное учреждение ""Новопокровская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002027,Павлодарская область,Успенский район,ЦБ Успенский,52.904380,78.055145
"Коммунальное государственное учреждение ""Козыкеткенская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001990,Павлодарская область,Успенский район,ЦБ Успенский,53.096408,77.440864
"Коммунальное государственное учреждение ""Павловская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840004340,Павлодарская область,Успенский район,ЦБ Успенский,52.900747,77.851668
"Коммунальное государственное учреждение ""Успенская средняя общеобразовательная школа № 3"" отдела образования Успенского района, управления образования Павлодарской области",000940001773,Павлодарская область,Успенский район,ЦБ Успенский,52.906602,77.421662
"Коммунальное государственное учреждение ""Равнопольская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002067,Павлодарская область,Успенский район,ЦБ Успенский,52.784162,77.259804
"Коммунальное государственное учреждение ""Успенская средняя общеобразовательная школа №1"" отдела образования Успенского района, управления образования Павлодарской области",980640001428,Павлодарская область,Успенский район,ЦБ Успенский,52.905260,77.417350
"Коммунальное государственное учреждение ""Вознесенская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002007,Павлодарская область,Успенский район,ЦБ Успенский,52.820459,77.860965
"Коммунальное государственное учреждение ""Лозовская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840004717,Павлодарская область,Успенский район,ЦБ Успенский,53.295649,77.771007
"Коммунальное государственное учреждение ""Галицкая средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840000417,Павлодарская область,Успенский район,ЦБ Успенский,53.004729,78.138230
"Коммунальное государственное учреждение ""Ковалевская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002205,Павлодарская область,Успенский район,ЦБ Успенский,53.136015,77.682425
"Коммунальное государственное учреждение ""Тимирязевская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001950,Павлодарская область,Успенский район,ЦБ Успенский,53.074839,76.975801
"Коммунальное государственное учреждение ""Каратайская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001782,Павлодарская область,Успенский район,ЦБ Успенский,53.514610,77.395234
"Коммунальное государственное учреждение ""Белоусовская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001940,Павлодарская область,Успенский район,ЦБ Успенский,52.935828,77.308564
"Коммунальное государственное учреждение ""Таволжанская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002215,Павлодарская область,Успенский район,ЦБ Успенский,52.712300,77.456355
"Коммунальное государственное учреждение ""Успенская средняя общеобразовательная школа №2"" отдела образования Успенского района, управления образования Павлодарской области",980840001920,Павлодарская область,Успенский район,ЦБ Успенский,52.915969,77.414997
"Коммунальное государственное учреждение ""Ольгинская средняя общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840001960,Павлодарская область,Успенский район,ЦБ Успенский,52.882774,77.033186
"Коммунальное государственное учреждение ""Дмитриевская начальная общеобразовательная школа"" отдела образования Успенского района,управления образования Павлодарской области",980840002017,Павлодарская область,Успенский район,ЦБ Успенский,52.980679,77.975276
"Коммунальное государственное учреждение ""Богатырская основная общеобразовательная школа"" отдела образования Успенского района, управления образования Павлодарской области",980840002285,Павлодарская область,Успенский район,ЦБ Успенский,53.441541,77.576316
"КГУ ""Центр поддержки детей, нуждающихся в специальных социальных услугах, села Успенка"" управления образования Павлодарской области",101240015464,Павлодарская область,Успенский район,-,52.897525,77.416290
КГКП «Ясли-сад «Айголек» отдела образования Успенского района,070240008544,Павлодарская область,Успенский район,-,52.787893,77.223682
"КГКП ""Ясли - сад ""Балапан"" отдела образования Успенского района",020640002040,Павлодарская область,Успенский район,-,52.905260,77.417350
"КГКП ""Детская музыкальная школа"" отдела образования Успенского района",201140013158,Павлодарская область,Успенский район,-,52.905450,77.419713
"КГКП ""Детский эстетический центр ""Балдырган"" отдела образования Успенского района",990240004995,Павлодарская область,Успенский район,-,52.905450,77.419713
КГКП «Ясли-сад «Акбота» отдела образования Успенского района,050940004866,Павлодарская область,Успенский район,-,53.001900,78.138599
ГУ «Отдел образования Щербактинского района» управления образования Павлодарской области,990440005891,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.494344,78.158415
"Коммунальное государственное учреждение ""Александровская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002457,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.337305,78.673941
"Коммунальное государственное учреждение ""Галкинская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040000193,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.240217,78.318134
"Коммунальное государственное учреждение ""Есильбайская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",980940002893,Павлодарская область,Щербактинский район,ЦБ Щербактинский,51.967566,78.446415
"Коммунальное государственное учреждение ""Жана-аульская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002556,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.248700,78.650473
"Коммунальное государственное учреждение ""Орловская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002516,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.578120,78.034870
"Коммунальное государственное учреждение ""Сосновская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",980940001934,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.719714,78.080846
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Абая Кунанбаева"" отдела образования Щербактинского района, управления образования Павлодарской области",980940002764,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.493606,78.163670
"Коммунальное государственное учреждение ""Алексеевская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040000113,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.532861,78.507905
"Коммунальное государственное учреждение ""Арбигенская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002477,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.078779,78.537621
"Коммунальное государственное учреждение ""Жылыбулакская основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040000183,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.338653,77.869769
"Коммунальное государственное учреждение ""Красиловская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002467,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.711111,77.786845
"Коммунальное государственное учреждение ""Основная общеобразовательная школа №2"" отдела образования Щербактинского района, управления образования Павлодарской области",980940002407,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.489853,78.144231
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 3"" отдела образования Щербактинского района, управления образования Павлодарской области",980940001627,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.482022,78.152181
"Коммунальное государственное учреждение ""Хмельницкая средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002388,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.435055,77.769912
"Коммунальное государственное учреждение ""Чигириновская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002427,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.010722,78.315083
"Коммунальное государственное учреждение ""Шалдайская средняя общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040000173,Павлодарская область,Щербактинский район,ЦБ Щербактинский,51.923054,78.813548
"Коммунальное государственное учреждение ""Северная основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040001191,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.672429,78.385186
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа с гимназическими классами"" отдела образования Щербактинского района, управления образования Павлодарской области",981040001290,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.492628,78.152691
"Коммунальное государственное учреждение ""Алгинская начальная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",140340002024,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.384052,77.784411
"Коммунальное государственное учреждение ""Маралдинская начальная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",140340001908,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.421552,77.760471
"Коммунальное государственное учреждение ""Заборовская основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981140001889,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.855921,78.008082
"Коммунальное государственное учреждение ""Карабидайская основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040001181,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.263326,77.995605
"КГУ ""Малиновская основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",981040002566,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.420162,78.233901
"Коммунальное государственное учреждение ""Назаровская основная общеобразовательная школа"" отдела образования Щербактинского района, управления образования Павлодарской области",980940001349,Павлодарская область,Щербактинский район,ЦБ Щербактинский,52.531776,78.351805
КГКП «Детская музыкальная школа» отдела образования Щербактинского района, управления образования Павлодарской области,990240008076,Павлодарская область,Щербактинский район,-,52.490993,78.160733
"КГУ ""Специальная школа-интернат № 5"" управления образования Павлодарской области, акимата Павлодарской области",990240004241,Павлодарская область,Щербактинский район,-,52.429680,77.757458
КГКП «Ясли–сад «Балдаурен» отдела образования Щербактинского района, управления образования Павлодарской области,170840002652,Павлодарская область,Щербактинский район,-,52.492260,78.165791
КГКП «Центр внешкольной работы «Радуга» отдела образования Щербактинского района, управления образования Павлодарской области,990340001302,Павлодарская область,Щербактинский район,-,52.490889,78.160077
"Государственное учреждение ""Отдел образования города Экибастуза"" управления образования Павлодарской области""",971240002145,Павлодарская область,Экибастуз г.,-,51.719678,75.336699
"Коммунальное государственное учреждение ""Атыгайская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002289,Павлодарская область,Экибастуз г.,-,51.845259,75.133078
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 10"" отдела образования города Экибастуза, управления образования Павлодарской области",981140001706,Павлодарская область,Экибастуз г.,-,51.726356,75.333591
"Коммунальное государственное учреждение ""Школа - гимназия № 7"" отдела образования города Экибастуза, управления образования Павлодарской области",980740001917,Павлодарская область,Экибастуз г.,-,51.735744,75.318715
"Коммунальное государственное учреждение ""Олентинская основная общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002348,Павлодарская область,Экибастуз г.,-,52.129706,74.476531
"Коммунальное государственное казенное предприятие ""Детская музыкальная школа имени Естая"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005498,Павлодарская область,Экибастуз г.,-,51.727433,75.317646
"Коммунальное государственное казенное предприятие ""Ясли-сад № 4"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005488,Павлодарская область,Экибастуз г.,-,51.740936,75.316200
"Коммунальное государственное казенное предприятие ""Санаторный ясли-сад № 3"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005864,Павлодарская область,Экибастуз г.,-,51.726596,75.297100
"Коммунальное государственное учреждение ""Аккольская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940001944,Павлодарская область,Экибастуз г.,-,52.337607,75.060640
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа №23"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002417,Павлодарская область,Экибастуз г.,-,51.722785,75.312768
"Коммунальное государственное казенное предприятие ""Центр развития ясли-сад № 1"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005231,Павлодарская область,Экибастуз г.,-,51.726138,75.316829
"Коммунальное государственное казенное предприятие ""Детский сад - гимназия № 9"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005458,Павлодарская область,Экибастуз г.,-,51.725960,75.330797
"Коммунальное государственное казенное предприятие ""Ясли-сад № 5"" отдела образования города Экибастуза, управления образования Павлодарской области",050640005586,Павлодарская область,Экибастуз г.,-,51.717440,75.329719
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 9"" отдела образования города Экибастуза "", управления образования Павлодарской области",981040002348,Павлодарская область,Экибастуз г.,-,51.718484,75.290427
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 18"" отдела образования города Экибастуза, управления образования Павлодарской области",981040001984,Павлодарская область,Экибастуз г.,-,51.722255,75.299796
"Коммунальное государственное учреждение ""Кудайкольская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002308,Павлодарская область,Экибастуз г.,-,51.914738,76.094428
"Коммунальное государственное казенное предприятие ""Ясли-сад № 8"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005468,Павлодарская область,Экибастуз г.,-,51.727639,75.297915
"Коммунальное государственное учреждение ""Саргамысская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002269,Павлодарская область,Экибастуз г.,-,52.243793,75.467745
"Коммунальное государственное казенное предприятие ""Ясли-сад № 10"" отдела образования города Экибастуза, управления образования Павлодарской области",990240006077,Павлодарская область,Экибастуз г.,-,51.707356,75.307244
"Коммунальное государственное учреждение ""Карасорская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",990340006053,Павлодарская область,Экибастуз г.,-,51.876379,75.847140
"Коммунальное государственное казенное предприятие ""№ 17 сјбилер баќшасы поселка Солнечный"" отдела образования города Экибастуза, управления образования Павлодарской области",990240001445,Павлодарская область,Экибастуз г.,-,52.031901,75.462957
"Коммунальное государственное учреждение ""Шидертинская средняя общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940001954,Павлодарская область,Экибастуз г.,-,51.719544,74.678129
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 14"" отдела образования города Экибастуза, управления образования Павлодарской области",980940001964,Павлодарская область,Экибастуз г.,-,51.729190,75.151098
"Коммунальное государственное казенное предприятие ""№ 12 сјбилер баќшасы"" отдела образования города Экибастуза, управления образования Павлодарской области",070740006958,Павлодарская область,Экибастуз г.,-,51.727862,75.310576
ТОО ЯСИНА 2021,210440034666,Павлодарская область,Экибастуз г.,-,51.742035,75.316748
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 12"" отдела образования города Экибастуза, управления образования Павлодарской области",981040002209,Павлодарская область,Экибастуз г.,-,51.727845,75.293095
"Коммунальное государственное казенное предприятие ""№ 25 сјбилер баќшасы"" отдела образования города Экибастуза, управления образования Павлодарской области",121140004210,Павлодарская область,Экибастуз г.,-,51.721257,75.333169
"Коммунальное государственное казенное предприятие ""№ 21 ресурстыќ орталыќ"" отдела образования города Экибастуза, управления образования Павлодарской области",071040006569,Павлодарская область,Экибастуз г.,-,51.724699,75.312642
"Коммунальное государственное казенное предприятие ""Ясли-сад №28"" отдела образования города Экибастуз, управления образования Павлодарской области",220740043102,Павлодарская область,Экибастуз г.,-,51.724135,75.321455
"Коммунальное государственное казенное предприятие ""Ясли-сад № 7"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005218,Павлодарская область,Экибастуз г.,-,51.706195,75.343491
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа имени Алькея Маргулана"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002625,Павлодарская область,Экибастуз г.,-,51.191918,74.044248
"Коммунальное государственное учреждение ""Основная общеобразовательная школа имени Кажыбека Алгамбарова"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002596,Павлодарская область,Экибастуз г.,-,52.202091,75.083240
"Коммунальное государственное казенное предприятие ""№ 22 сјбилер баќшасы"" отдела образования города Экибастуза, управления образования Павлодарской области",080540001515,Павлодарская область,Экибастуз г.,-,51.734177,75.322919
Коммунальное государственное учреждение «Средняя общеобразовательная школа №16» отдела образования города Экибастуза, управления образования Павлодарской области,981040002358,Павлодарская область,Экибастуз г.,-,52.032743,75.463380
"Коммунальное государственное казенное предприятие ""Ясли-сад № 27"" отдела образования города Экибастуза, управления образования Павлодарской области",190440007950,Павлодарская область,Экибастуз г.,-,51.732314,75.319721
"Коммунальное государственное казенное предприятие ""Центр полиязычного развития ясли-сад № 6"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005507,Павлодарская область,Экибастуз г.,-,51.718584,75.287975
"Коммунальное государственное учреждение ""Бозшакульская основная общеобразовательная школа"" отдела образования города Экибастуза, управления образования Павлодарской области",980940001974,Павлодарская область,Экибастуз г.,-,51.744851,75.317996
"Коммунальное государственное казенное предприятие ""Ясли-сад № 16"" отдела образования города Экибастуза, управления образования Павлодарской области",040840003763,Павлодарская область,Экибастуз г.,-,51.726490,75.325722
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 2 имени Абая Кунанбаева"" отдела образования города Экибастуза, управления образования Павлодарской области",071040002318,Павлодарская область,Экибастуз г.,-,51.715314,75.335711
"Коммунальное государственное казенное предприятие ""Центр полиязычного развития ясли-сад № 20"" отдела образования города Экибастуза, управления образования Павлодарской области",071140007352,Павлодарская область,Экибастуз г.,-,51.723472,75.332190
"Коммунальное государственное казенное предприятие ""№ 23 мектепке дейінгі гимназия"" отдела образования города Экибастуза, управления образования Павлодарской области",081040002280,Павлодарская область,Экибастуз г.,-,51.723550,75.320323
"КГУ ""Средняя общеобразовательная школа Бескауга отдела образования акимата города Экибастуза"" управления образования Павлодарской области",980940002546,Павлодарская область,Экибастуз г.,-,51.282332,74.969728
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 21"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002318,Павлодарская область,Экибастуз г.,-,51.708813,75.306273
"Коммунальное государственное учреждение ""Средняя общеобразовательная школа № 17"" отдела образования города Экибастуза, управления образования Павлодарской области",980940002299,Павлодарская область,Экибастуз г.,-,51.704261,75.344032
"Коммунальное государственное казенное предприятие ""Ясли-сад № 2"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005243,Павлодарская область,Экибастуз г.,-,51.737718,75.324644
"Коммунальное государственное казенное предприятие ""Ясли-сад № 18 физкультурно-оздоровительного профиля"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005478,Павлодарская область,Экибастуз г.,-,51.716246,75.337526
"Коммунальное государственное казенное предприятие ""Центр эстетического развития ясли-сад № 15"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005854,Павлодарская область,Экибастуз г.,-,51.719014,75.328740
"Коммунальное государственное казенное предприятие ""№ 24 сјбилер баќшасы"" отдела образования города Экибастуза, управления образования Павлодарской области",110540000911,Павлодарская область,Экибастуз г.,-,51.719767,75.328938
"Коммунальное государственное казенное предприятие ""Специальный детский сад № 13"" отдела образования города Экибастуза, управления образования Павлодарской области",990240005255,Павлодарская область,Экибастуз г.,-,51.721591,75.303875
"коммунальное государственное учреждение ""Специальная школа № 6"" управления образования Павлодарской области, акимата Павлодарской области",980940001657,Павлодарская область,Экибастуз г.,-,51.722914,75.321437
